Year,PHILIPPINES,AFGHANISTAN,ALBANIA,ALGERIA,ANGOLA,ANTARCTICA,ARGENTINA,ARMENIA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHAMAS,BANGLADESH,BELARUS,BELGIUM,BELIZE,BENIN,BHUTAN,BOLIVIA,BOSNIA AND HERZEGOVINA,BOTSWANA,BRAZIL,BRUNEI DARUSSALAM,BULGARIA,BURKINA,BURUNDI,CAMBODIA,CAMEROON,CANADA,CENTRAL AFRICAN REPUBLIC,CHAD,CHILE,CHINA (P.R.O.C.),COLOMBIA,COSTA RICA,COTE D' IVOIRE (IVORY COAST),CROATIA,CUBA,CYPRUS,CZECH REPUBLIC,DEMOCRATIC REPUBLIC OF THE CONGO (ZAIRE),DENMARK,DJIBOUTI,DOMINICAN REPUBLIC,ECUADOR,EGYPT,EL SALVADOR,EQUATORIAL GUINEA,ERITREA,ESTONIA,ETHIOPIA,FALKLAND ISLANDS (MALVINAS),FIJI,FINLAND,FRANCE,FRENCH SOUTHERN AND ANTARCTIC LANDS,GABON,GAMBIA,GEORGIA,GERMANY,GHANA,GREECE,GREENLAND,GUATEMALA,GUINEA,GUINEA BISSAU,GUYANA,HAITI,HONDURAS,HUNGARY,ICELAND,INDIA,INDONESIA,IRAN,IRAQ,IRELAND,ISRAEL,ITALY,JAMAICA,JAPAN,JORDAN,KAZAKHSTAN,KENYA,KOSOVO,KUWAIT,KYRGYZSTAN,LAOS,LATVIA,LEBANON,LESOTHO,LIBERIA,LIBYA,LITHUANIA,LUXEMBOURG,MACEDONIA,MADAGASCAR,MALAWI,MALAYSIA,MALI,MAURITANIA,MEXICO,MOLDOVA,MONGOLIA,MONTENEGRO,MOROCCO,MOZAMBIQUE,MYANMAR (BURMA),NAMIBIA,NEPAL,NETHERLANDS,NEW CALEDONIA,NEW ZEALAND,NICARAGUA,NIGER,NIGERIA,NORTHERN CYPRUS,NORTH KOREA,NORWAY,OMAN,PAKISTAN,PANAMA,PAPUA NEW GUINEA,PARAGUAY,PERU,POLAND,PORTUGAL,PUERTO RICO,QATAR,REPUBLIC OF THE CONGO,REPUBLIC OF SERBIA,ROMANIA,RUSSIAN FEDERATION / USSR,RWANDA,SAUDI ARABIA,SENEGAL,SIERRA LEONE,SLOVAK REPUBLIC,SLOVENIA,SOLOMON ISLANDS,SOMALIA,SOMALILAND,SOUTH AFRICA,SOUTH KOREA,SOUTH SUDAN,SPAIN,SRI LANKA,SUDAN,SURINAME,SWAZILAND,SWEDEN,SWITZERLAND,SYRIA,TAJIKISTAN,TAIWAN (ROC),THAILAND,TOGO,TRINIDAD AND TOBAGO,TUNISIA,TURKEY,TURKMENISTAN,UGANDA,UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED REPUBLIC OF TANZANIA,UNITED STATES OF AMERICA,URUGUAY,UZBEKISTAN,VANUATU,VENEZUELA,VIETNAM,WEST BANK,WESTERN SAHARA,YEMEN,ZAMBIA,ZIMBABWE
2006,0,0,0,0,0,0,0,0,3735,94,0,0,0,0,134,0,0,0,0,0,0,0,0,1,0,0,0,0,13230,0,0,0,0,0,0,0,1,0,1,1,0,30,0,0,0,0,0,0,0,0,0,0,0,30,86,0,0,0,0,457,0,2,0,0,0,0,0,0,0,0,25,1,0,0,0,154,0,954,0,9742,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,136,0,1973,0,0,0,0,0,252,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,3,281,0,898,0,0,0,0,347,100,0,0,187,0,0,0,0,1,0,0,0,17,556,0,49522,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,3467,158,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,14572,0,0,0,0,0,0,0,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,40,118,0,0,0,0,424,0,1,0,0,0,0,0,0,0,2,33,4,1,0,0,110,0,1490,0,8806,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,120,0,1639,0,0,0,0,0,330,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,576,0,933,0,0,0,0,374,96,1,0,62,0,0,0,0,3,0,0,0,9,654,0,46420,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,3657,163,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,16443,0,0,0,0,0,0,0,3,0,0,1,0,45,0,0,0,0,0,0,0,0,0,1,0,44,130,0,0,0,0,489,0,4,0,0,0,0,0,0,0,0,29,1,0,0,0,121,0,2405,0,7682,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,1252,0,0,0,0,0,257,0,0,0,1,0,0,0,4,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,1482,0,907,0,0,0,0,379,84,0,0,81,0,0,0,0,1,0,0,1,10,552,0,34201,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,3850,140,0,0,0,0,123,0,0,0,0,0,0,0,0,2,0,0,0,0,19967,0,0,0,0,0,0,0,2,0,3,1,0,49,0,1,0,0,0,0,0,0,0,0,0,47,119,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,61,0,2734,0,5278,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,225,0,1725,0,0,0,0,0,302,0,2,0,0,0,0,5,5,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,1,1458,0,970,1,0,0,0,461,150,0,0,228,0,0,0,0,0,0,0,0,7,646,0,40598,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,3062,106,0,0,2,0,126,0,0,0,0,0,0,0,1,0,0,0,0,0,27302,0,0,0,0,0,0,0,1,0,1,0,0,41,0,0,0,2,0,0,0,0,0,0,0,64,135,0,0,0,0,510,0,4,1,0,0,0,0,0,0,1,19,4,0,0,0,76,0,3319,0,3766,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,211,0,1114,0,0,0,0,0,345,0,0,0,2,0,0,1,13,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1565,0,693,0,0,0,0,416,131,0,0,189,0,0,0,0,1,0,0,0,8,817,0,42007,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,3957,118,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,26203,0,0,0,1,0,3,0,1,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,87,159,0,0,0,0,590,0,1,4,0,0,0,0,0,0,2,25,10,0,0,0,68,0,3632,0,3965,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,268,0,1185,0,0,0,0,0,462,0,0,0,1,0,0,1,12,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,2,1618,0,871,0,0,0,0,401,167,1,0,193,0,0,0,0,3,0,0,0,0,749,0,38463,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,4259,103,0,0,0,0,179,0,0,0,0,1,0,0,1,2,0,0,0,0,24354,0,0,0,3,0,0,0,0,0,0,2,0,34,0,0,0,0,0,0,0,0,0,0,0,103,172,0,0,0,0,553,0,6,0,0,0,0,0,0,0,0,27,9,0,0,0,115,0,3818,0,4759,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,234,0,1170,0,0,0,0,0,452,0,1,0,1,0,0,0,6,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,3,1632,0,808,0,1,0,0,448,198,0,0,158,0,0,2,0,0,0,0,0,0,881,0,39124,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,1,0,1,0,4748,104,0,0,0,0,171,0,0,0,0,0,0,0,0,6,0,0,0,0,19041,0,0,0,4,0,0,0,1,0,2,2,0,45,0,0,0,0,0,0,0,0,0,0,0,66,161,0,0,0,0,609,0,4,0,0,0,0,0,0,0,2,34,22,0,0,0,139,0,4526,0,4554,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,263,0,888,0,0,0,0,0,370,0,0,0,1,0,0,1,18,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,2,1419,0,868,1,0,0,0,315,199,0,0,143,0,0,0,0,3,0,0,0,0,829,0,38637,0,0,0,0,0,0,0,0,0,0
2014,0,0,3,0,0,0,0,0,4467,88,0,0,0,0,186,0,0,0,0,0,0,2,0,3,0,0,0,0,22479,0,0,2,10,0,0,0,0,0,0,0,0,55,0,0,0,1,0,0,0,0,0,1,0,112,211,0,0,0,0,578,0,3,0,0,0,0,0,0,0,3,9,13,0,0,0,130,0,3275,0,4341,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,316,0,974,0,0,0,0,0,507,0,1,0,0,0,0,1,4,0,0,0,0,5,0,0,0,0,0,2,7,0,0,0,4,982,0,834,0,0,0,0,333,160,0,0,182,0,0,0,0,4,0,0,0,1,783,0,39594,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,4860,81,0,0,0,0,143,0,0,0,0,0,0,1,0,1,0,0,0,0,33700,0,0,1,5,0,0,0,0,0,1,1,0,46,0,0,0,0,0,0,0,0,0,0,0,67,159,0,0,0,0,651,0,4,0,0,0,0,0,0,0,2,18,25,0,0,0,161,0,2452,0,4387,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,319,0,1197,0,0,0,0,0,426,0,2,0,0,0,0,6,18,0,0,0,0,9,0,0,0,0,0,4,1,0,0,0,1,700,0,1005,0,0,0,0,287,194,0,0,277,0,0,0,0,13,0,0,0,0,936,0,40814,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,3,0,4819,64,0,0,0,0,184,0,0,0,0,0,0,2,0,2,0,0,0,0,29039,0,0,3,9,0,0,0,0,0,0,1,0,52,0,0,1,1,0,0,0,2,0,0,0,66,206,0,0,0,0,613,0,2,2,0,0,0,0,0,0,0,21,15,0,0,0,128,0,2451,0,4313,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,336,0,1512,0,0,0,0,0,546,0,0,0,0,0,0,5,11,0,0,0,0,9,1,0,0,0,0,1,1,0,0,0,4,694,0,966,0,0,0,0,331,189,0,0,237,0,0,0,0,48,0,0,1,1,1129,0,41298,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,3993,84,0,0,0,0,170,0,0,0,0,0,0,1,0,6,0,0,0,0,27376,0,0,4,5,0,0,0,1,0,2,0,0,36,0,0,0,1,0,0,0,0,0,0,0,46,154,0,0,0,0,616,0,2,0,0,0,0,0,0,0,4,16,31,0,0,0,102,0,2241,0,4129,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,377,0,1236,0,0,0,0,0,497,1,1,0,0,0,0,9,3,0,0,0,0,11,0,0,0,0,0,1,5,0,0,0,3,616,0,920,1,0,0,0,452,137,0,0,444,0,0,0,0,50,0,0,1,1,1015,0,34956,0,0,0,0,0,0,0,0,0,0
2018,0,0,1,0,0,0,2,0,2937,100,0,0,0,0,135,0,0,0,0,0,0,0,0,15,0,0,0,0,23014,0,0,7,6,0,0,0,3,0,0,2,1,70,0,0,0,0,0,0,0,0,0,0,0,45,181,0,0,0,0,687,0,4,1,0,0,0,0,0,0,1,25,23,0,0,0,145,0,1459,0,3962,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,418,0,617,0,0,0,0,0,499,0,0,0,0,0,0,15,6,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,687,0,694,0,0,0,0,337,156,0,0,467,0,0,0,0,94,0,0,1,0,1025,0,35839,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,2468,87,0,1,2,0,179,0,0,0,1,2,0,1,0,17,0,0,0,0,18190,0,0,21,10,1,0,0,2,0,0,8,1,61,0,0,0,1,0,0,0,2,0,0,0,81,251,0,0,0,0,730,0,3,0,0,0,0,0,0,0,11,11,26,0,0,0,99,0,774,0,3862,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,402,0,1178,0,0,0,0,0,421,0,0,0,0,0,0,10,3,0,0,0,0,12,0,0,0,0,0,6,10,0,0,0,2,653,0,546,0,0,0,0,247,153,0,0,465,0,0,0,0,89,0,0,0,1,1345,0,32698,1,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,777,30,0,0,0,0,58,0,0,0,0,0,0,0,0,2,0,0,0,0,4579,0,0,2,0,0,0,0,1,0,0,1,0,16,0,0,0,0,0,0,0,1,0,0,0,31,71,0,0,0,0,304,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,16,0,232,0,1100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,477,0,0,0,0,0,88,0,0,0,0,0,0,3,4,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,219,0,162,0,0,0,0,80,68,0,0,133,0,0,0,0,25,0,0,1,1,442,0,6539,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
