Year,PHILIPPINES,AFGHANISTAN,ALBANIA,ALGERIA,ANGOLA,ANTARCTICA,ARGENTINA,ARMENIA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHAMAS,BANGLADESH,BELARUS,BELGIUM,BELIZE,BENIN,BHUTAN,BOLIVIA,BOSNIA AND HERZEGOVINA,BOTSWANA,BRAZIL,BRUNEI DARUSSALAM,BULGARIA,BURKINA,BURUNDI,CAMBODIA,CAMEROON,CANADA,CENTRAL AFRICAN REPUBLIC,CHAD,CHILE,CHINA (P.R.O.C.),COLOMBIA,COSTA RICA,COTE D' IVOIRE (IVORY COAST),CROATIA,CUBA,CYPRUS,CZECH REPUBLIC,DEMOCRATIC REPUBLIC OF THE CONGO (ZAIRE),DENMARK,DJIBOUTI,DOMINICAN REPUBLIC,ECUADOR,EGYPT,EL SALVADOR,EQUATORIAL GUINEA,ERITREA,ESTONIA,ETHIOPIA,FALKLAND ISLANDS (MALVINAS),FIJI,FINLAND,FRANCE,FRENCH SOUTHERN AND ANTARCTIC LANDS,GABON,GAMBIA,GEORGIA,GERMANY,GHANA,GREECE,GREENLAND,GUATEMALA,GUINEA,GUINEA BISSAU,GUYANA,HAITI,HONDURAS,HUNGARY,ICELAND,INDIA,INDONESIA,IRAN,IRAQ,IRELAND,ISRAEL,ITALY,JAMAICA,JAPAN,JORDAN,KAZAKHSTAN,KENYA,KOSOVO,KUWAIT,KYRGYZSTAN,LAOS,LATVIA,LEBANON,LESOTHO,LIBERIA,LIBYA,LITHUANIA,LUXEMBOURG,MACEDONIA,MADAGASCAR,MALAWI,MALAYSIA,MALI,MAURITANIA,MEXICO,MOLDOVA,MONGOLIA,MONTENEGRO,MOROCCO,MOZAMBIQUE,MYANMAR (BURMA),NAMIBIA,NEPAL,NETHERLANDS,NEW CALEDONIA,NEW ZEALAND,NICARAGUA,NIGER,NIGERIA,NORTHERN CYPRUS,NORTH KOREA,NORWAY,OMAN,PAKISTAN,PANAMA,PAPUA NEW GUINEA,PARAGUAY,PERU,POLAND,PORTUGAL,PUERTO RICO,QATAR,REPUBLIC OF THE CONGO,REPUBLIC OF SERBIA,ROMANIA,RUSSIAN FEDERATION / USSR,RWANDA,SAUDI ARABIA,SENEGAL,SIERRA LEONE,SLOVAK REPUBLIC,SLOVENIA,SOLOMON ISLANDS,SOMALIA,SOMALILAND,SOUTH AFRICA,SOUTH KOREA,SOUTH SUDAN,SPAIN,SRI LANKA,SUDAN,SURINAME,SWAZILAND,SWEDEN,SWITZERLAND,SYRIA,TAJIKISTAN,TAIWAN (ROC),THAILAND,TOGO,TRINIDAD AND TOBAGO,TUNISIA,TURKEY,TURKMENISTAN,UGANDA,UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED REPUBLIC OF TANZANIA,UNITED STATES OF AMERICA,URUGUAY,UZBEKISTAN,VANUATU,VENEZUELA,VIETNAM,WEST BANK,WESTERN SAHARA,YEMEN,ZAMBIA,ZIMBABWE
1996,0,0,0,0,0,0,0,0,2002,22,0,1,0,0,95,0,0,0,0,0,0,0,2,0,0,0,0,0,10050,0,0,0,1,0,0,0,0,0,4,1,0,76,0,0,0,1,0,0,0,0,0,0,0,4,41,0,0,0,0,542,0,10,0,0,0,0,0,0,0,0,0,4,0,1,2,1,0,72,0,4510,3,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,1,0,0,62,0,1005,0,0,0,0,0,69,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,1,237,0,40,4,0,0,0,82,48,0,0,310,6,0,0,0,0,0,0,0,23,150,0,41312,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,2124,30,0,0,0,0,116,0,0,0,0,0,0,0,1,0,0,0,0,0,8215,0,0,0,0,0,0,0,0,0,6,1,0,68,0,0,0,2,0,0,0,0,0,0,0,6,44,0,0,0,0,566,0,6,0,0,0,0,0,0,0,0,0,3,2,1,0,2,0,50,0,4171,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,51,0,405,0,0,0,0,0,127,2,15,0,0,0,0,0,1,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,3,277,0,25,0,0,0,0,93,34,0,0,285,4,0,0,0,0,0,0,0,29,195,0,37002,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,2189,35,0,0,2,0,108,0,0,0,0,0,0,1,0,0,0,0,0,0,5651,0,0,0,0,0,0,0,0,0,2,0,0,51,0,0,0,0,0,0,0,0,0,0,0,11,42,0,0,0,0,560,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,96,0,3810,20,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,2,0,0,64,0,253,0,0,0,0,0,171,1,2,0,2,0,0,0,2,1,1,0,0,1,0,0,15,0,0,0,0,0,0,0,0,256,0,39,0,5,0,0,139,27,0,0,272,3,0,0,0,1,0,0,0,30,193,0,24886,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,1,0,2597,37,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,0,0,1,0,0,0,0,0,1,0,0,72,0,0,0,3,0,0,0,0,0,0,0,3,60,0,0,0,0,550,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,125,0,4219,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,86,0,186,0,0,0,0,0,159,2,1,0,2,0,0,1,0,0,1,0,0,1,0,0,16,0,0,0,0,0,0,0,4,422,0,345,3,0,0,0,93,41,0,0,212,2,0,0,0,3,0,0,0,17,225,0,24123,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,2298,35,0,0,0,0,136,0,0,0,0,0,0,0,1,0,0,0,0,0,8245,0,0,0,0,0,0,0,0,0,1,0,0,51,0,0,0,3,0,0,0,0,0,0,0,8,65,0,0,0,0,552,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,12,0,371,0,6468,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,99,0,261,0,0,0,0,0,170,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,110,0,336,0,0,0,0,133,27,0,0,102,2,0,0,0,0,0,0,0,18,174,0,31324,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,1965,39,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,9737,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,823,0,6021,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,128,0,284,0,0,0,0,0,153,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,62,0,411,0,0,0,0,123,16,3,0,48,0,0,0,0,0,0,0,0,21,176,0,31287,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,2603,86,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,8795,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,17,88,0,0,0,0,518,0,3,0,0,0,0,0,0,0,0,5,3,1,0,0,48,0,982,0,5734,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,184,0,624,0,0,0,0,0,162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55,0,451,0,0,0,0,257,35,0,0,52,0,0,0,0,0,0,0,0,6,271,0,36557,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,2223,94,0,0,0,0,125,0,0,0,0,0,0,1,0,0,0,0,0,0,9521,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,20,69,0,0,0,0,445,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,51,0,662,0,5929,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,209,0,382,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,77,0,586,0,0,0,0,246,51,0,0,39,0,0,0,0,1,0,0,0,10,225,0,33916,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,2647,163,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,10108,0,0,0,0,0,0,0,2,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,22,60,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,28,1,0,3,0,55,0,859,0,5993,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,171,0,131,0,0,0,0,0,214,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,289,0,579,0,0,0,0,264,80,0,0,45,0,0,0,0,2,0,0,0,17,309,0,42350,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,3027,181,0,0,0,0,141,0,0,0,0,0,0,2,0,0,0,0,0,0,13598,0,0,0,0,0,0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,24,62,0,0,0,0,367,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,111,0,1250,0,7062,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,191,0,394,0,0,0,0,0,182,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,480,0,685,0,0,0,0,252,106,0,0,71,0,0,0,0,0,0,0,0,8,478,0,40280,0,0,0,0,0,0,0,0,0,0
